,business_status,geometry,name,rating,types,user_ratings_total,vicinity,price_level
35,OPERATIONAL,"{'location': {'lat': 12.9692097, 'lng': 77.60627099999999}, 'viewport': {'northeast': {'lat': 12.9705479802915, 'lng': 77.6076631802915}, 'southwest': {'lat': 12.96785001970849, 'lng': 77.60496521970849}}}",PlanB,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4155.0,"No 148 & 149, St Thomas Building, Brigade Road, Ashok Nagar, Bengaluru",2.0
36,CLOSED_TEMPORARILY,"{'location': {'lat': 12.9697166, 'lng': 77.61004249999999}, 'viewport': {'northeast': {'lat': 12.9710948802915, 'lng': 77.6113165302915}, 'southwest': {'lat': 12.9683969197085, 'lng': 77.6086185697085}}}",Café Coffee Day,3.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",104.0,"15, Commissariat Road, Ashok Nagar, Bengaluru",2.0
37,OPERATIONAL,"{'location': {'lat': 12.9863813, 'lng': 77.5959907}, 'viewport': {'northeast': {'lat': 12.9878177802915, 'lng': 77.5974492302915}, 'southwest': {'lat': 12.9851198197085, 'lng': 77.5947512697085}}}",Banjara Melting Pot,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1348.0,"opp. Citrus Hotel, No. G117/118, Prestige Center Point, opp. Citrus Hotel, Cunningham Road, Bengaluru",3.0
38,OPERATIONAL,"{'location': {'lat': 12.9717013, 'lng': 77.59620319999999}, 'viewport': {'northeast': {'lat': 12.9729929302915, 'lng': 77.5971144302915}, 'southwest': {'lat': 12.9702949697085, 'lng': 77.59441646970849}}}",Rasovara The Royal Kitchen,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",1708.0,"the Collection, Level 2 UB City, Vittal Mallya Road, Bengaluru",3.0
39,OPERATIONAL,"{'location': {'lat': 12.9723803, 'lng': 77.6086254}, 'viewport': {'northeast': {'lat': 12.9738654802915, 'lng': 77.60981288029151}, 'southwest': {'lat': 12.9711675197085, 'lng': 77.6071149197085}}}",Karavalli,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2822.0,"Vivanta Bengaluru, 66, Residency Road, Bengaluru",4.0
40,OPERATIONAL,"{'location': {'lat': 12.9757392, 'lng': 77.6023056}, 'viewport': {'northeast': {'lat': 12.9770390302915, 'lng': 77.6036433302915}, 'southwest': {'lat': 12.9743410697085, 'lng': 77.6009453697085}}}",Domino's Pizza,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4146.0,"Ground Floor, M G Road Metro Station Reach, 1, Church Street, Bengaluru",2.0
41,OPERATIONAL,"{'location': {'lat': 12.9674414, 'lng': 77.6080958}, 'viewport': {'northeast': {'lat': 12.9687903802915, 'lng': 77.60944478029151}, 'southwest': {'lat': 12.9660924197085, 'lng': 77.60674681970849}}}",Asean,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"45, Castle Street, Ashok Nagar, Bengaluru",
42,OPERATIONAL,"{'location': {'lat': 12.9657887, 'lng': 77.60155639999999}, 'viewport': {'northeast': {'lat': 12.9671095302915, 'lng': 77.6028726302915}, 'southwest': {'lat': 12.9644115697085, 'lng': 77.6001746697085}}}",Beijing Bites - Richmond Town,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",868.0,"opposite to Baldwin Girls High School, Building No. 11/2, Ground Floor, Sigma Trident, Hayes Road Off Richmond Road, Landmark Diagonally, opposite to Baldwin Girls High School, Bengaluru",2.0
43,OPERATIONAL,"{'location': {'lat': 12.9703756, 'lng': 77.6110025}, 'viewport': {'northeast': {'lat': 12.9715904302915, 'lng': 77.6123116302915}, 'southwest': {'lat': 12.9688924697085, 'lng': 77.6096136697085}}}",Arbor Brewing Company,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",12864.0,"Allied Grand Plaza, 3rd, 8, Magrath Road, Ashok Nagar, Bengaluru",3.0
44,OPERATIONAL,"{'location': {'lat': 12.9654972, 'lng': 77.5899822}, 'viewport': {'northeast': {'lat': 12.9668540802915, 'lng': 77.59119443029151}, 'southwest': {'lat': 12.9641561197085, 'lng': 77.5884964697085}}}",Hotel V.T. Paradise,3.9,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",880.0,"Near HCG Hospital, 7, Devanga Hostel Road, Sampangi Rama Nagar, 10th Main, Bengaluru",
